Text,Category
Queijo tipo Catupiry derretido,Recipe
PEPPERONI 1,Title
"R$ 33,00",Price
"R$ 23,00",Price
CARNE SECA 2,Title
"R$ 41,00",Price
LUZITANA,Title
"R$30,00",Price
"R$ 30,00",Price
"R$ 22,00",Price
Mussarela e pepperoni picado,Recipe
"Carne seca, cebola e catupiry",Recipe
Presunto e mussarela,Recipe
PORTUGUESA,Title
"R$ 35,00",Price
"R$ 25,00",Price
MARGHERITA,Title
GRANDE,Title
"R$30,00",Price
"R$ 22,00",Price
"palmito, ervilha, ovos, cebola e mussarela",Recipe
"Mussarela, manjericão e queijo parmesão",Recipe
DOIS QUEIJOS,Title
"R$ 31,00",Price
"R$ 23,00",Price
BANANA,Title
"R$ 34,00",Price
"R$ 25,00",Price
MILHO VERDE,Title
"R$31,00",Price
"R$ 22,00",Price
Catupiry e mussarela,Recipe
"Banana, mussarela, leite condensado e canela",Recipe
Milho verde coberto com mussarela,Recipe
TRÊS QUEIJOS,Title
"R$31,00",Price
"R$ 23,00",Price
PRESTÍGIO,Title
"R$ 34,00",Price
"R$ 25,00",Price
NAPOLITANA,Title
"R$ 30,00",Price
"Mussarela, provolone e catupiry",Recipe
"R$ 22,00",Price
"Chocolate, coco ralado coberto com chocolate granulado",Recipe
Mussarela rodelas de tomate e queijo parmesão ralado,Recipe
"R$ 33,00",Price
QUATRO QUEIJOS,Title
"R$ 24,00",Price
ROMEU E JULIETA,Title
"R$ 34,00",Price
"R$ 25,00",Price
TOSCANA,Title
"Provolone, mussarela, catupiry e parmesão",Recipe
"R$31,00",Price
Calabresa moída e mussarela,Recipe
"R$ 24,00",Price
CHOCOLATE,Title
"R$ 34,00",Price
CINCO QUEIJOS,Title
"R$ 34,00",Price
"R$ 25,00",Price
"R$ 25,00",Price
VERONA,Title
Chocolate coberto com chocolate granulado,Recipe
"Provolone, catupiry, mussarela, parmesão e cheddar",Recipe
"R$ 31,00",Price
"R$ 23,00",Price
Calabresa moida e catupiry,Recipe
CHOCOLATE COM BANANA,Title
"R$ 33,00",Price
"R$ 34,00",Price
"R$ 24,00",Price
SICILIANA,Title
"R$ 25,00",Price
MODA DA CASA,Title
Chocolate e banana,Recipe
Champignon,Recipe
"R$ 33,00",Price
"R$ 24,00",Price
"Presunto, ovos, bacon e mussarela",Recipe
"R$ 34,00",Price
CHOCOLATE BRANCO,Title
"R$ 35,00",Price
"R$ 25,00",Price
VENEZA,Title
"R$ 25,00",Price
"Atum, palmito, ervilha, ovos, milho, cebola e mussarela",Recipe
Chocolate branco com granulado,Recipe
ATUM COM CATUPIRY,Title
"R$ 32,00",Price
"R$ 23,00",Price
CONFETE,Title
"R$ 35,00",Price
"R$ 34,00",Price
"R$ 25,00",Price
"Atum, catupiry e cebola",Recipe
VEGETARIANA,Title
"R$ 26,00",Price
"Escarola, palmito, champignon, milho, ervilha e catupiry",Recipe
Chocolate e confete,Recipe
BAIANA,Title
"R$ 32,00",Price
"R$ 24,00",Price
CHOCOLATE COM MORANGO,Title
"R$ 36,00",Price
"R$ 32,00",Price
"Mussarela, ovos, calabresa moída e pimenta",Recipe
"R$ 24,00",Price
PAULISTA,Title
"R$ 26,00",Price
"Calabresa, cebola e mussarela",Recipe
Chocolate e morango,Recipe
CARIOCA,Title
"R$ 33,00",Price
"Presunto, provolone, milho, mussarela e catupiry",Recipe
NUTELLA,Title
ROMANESCA,Title
"R$ 33,00",Price
"R$ 24,00",Price
"R$ 45,00",Price
"R$ 34,00",Price
"Mussarela, champignon, presunto e bacon",Recipe
Nutella,Recipe
